Year,Country,Prevalence Rate,ART Rate,PMTCT Rate,Exp_per_cap Level,Coglevel,Newly Infected Rate,PMTCT Receiving Rate
2010,Afghanistan,0.1,1,2,3,2,0.0133,0
2010,Algeria,0.1,31,62,3,3,0.0139,0.6
2010,Angola,1.7,10,18,1,2,0.2009,0.185
2010,Argentina,0.4,46,94,4,,0.0233,0.941176471
2010,Armenia,0.2,7,,3,2,0.0303,
2010,Australia,0.1,62,,,3,0.0046,
2010,Bahamas,2.2,23,,,,0.1897,
2010,Bangladesh,0.1,6,18,3,2,0.013,0.1
2010,Barbados,1.3,38,,4,3,0.113,
2010,Belarus,0.2,21,62,3,3,0.0317,0.38
2010,Belize,1.9,21,58,3,2,0.2568,0.5
2010,Benin,1.1,33,30,1,,0.0793,0.293103448
2010,Bhutan,0.3,5,,,2,0.0462,
2010,Bolivia,0.4,6,34,,,0.0191,0.26
2010,BosniaandHerzegovina,0.1,,,,,0.05,
2010,Botswana,23.2,47,68,2,3,0.8871,0.6875
2010,Brazil,0.5,36,,3,3,0.0328,
2010,Bulgaria,0.1,22,,4,3,0.0294,
2010,BurkinaFaso,1.2,,,,,0.0502,0.4375
2010,Burundi,1.6,25,43,2,,0.0637,0.426229508
2010,Cambodia,0.8,54,33,2,3,0.0233,0.323529412
2010,Cameroon,4.5,17,42,1,3,0.3115,0.418181818
2010,CapeVerde,0.6,,,,,0.0571,
2010,CentralAfricanRepublic,5,,,,,0.325,0.303030303
2010,Chad,1.5,32,16,1,,0.1121,0.16
2010,Chile,0.4,37,72,4,,0.0379,0.32
2010,Colombia,0.4,18,33,3,,0.0271,0.325
2010,Comoros,0.1,19,,4,3,0.05,
2010,Congo,3.1,18,14,,2,0.2193,0.134782609
2010,CostaRica,0.3,,,,,0.0268,
2010,CotedIvoire,3.6,,,,,0.1875,0.339130435
2010,Croatia,0.1,49,,4,3,0.01,
2010,Cuba,0.2,35,91,4,3,0.0259,0.7
2010,CzechRepublic,0.1,,,,,0.0278,
2010,DemocraticRepublicoftheCongo,1.1,,,,,0.071,0.066666667
2010,Denmark,0.1,65,,,3,0.0036,
2010,Djibouti,1.6,10,12,2,,0.0851,0.08
2010,DominicanRepublic,1.2,,,,,0.0533,0.55
2010,Ecuador,0.4,21,78,2,2,0.0294,0.54
2010,Egypt,0.1,9,9,,,0.0176,0.05
2010,ElSalvador,0.7,,,,,0.0377,0.2
2010,EquatorialGuinea,5.7,,,,,0.6351,0.152941176
2010,Eritrea,0.9,28,21,1,3,0.0429,0.214285714
2010,Estonia,0.7,31,,,3,0.0583,
2010,Eswatini,27.4,38,73,,3,1.8838,0.754545455
2010,Ethiopia,1.3,35,28,2,3,0.0598,0.272
2010,Finland,0.1,63,,,3,0.0074,
2010,France,0.3,82,,,3,0.0118,
2010,Gabon,4.1,26,24,1,,0.2765,0.237037037
2010,Gambia,1.9,11,70,1,1,0.19,0.705882353
2010,Georgia,0.2,15,,4,2,0.0279,
2010,Germany,0.1,65,,,3,0.0042,
2010,Ghana,1.9,14,33,2,2,0.1393,0.341176471
2010,Guatemala,0.6,25,26,3,2,0.0269,0.254545455
2010,Guinea,1.6,19,19,1,,0.1312,0.2
2010,Guinea-Bissau,3.8,10,16,,,0.34,0.154545455
2010,Guyana,1.5,46,50,4,3,0.1119,0.24
2010,Haiti,2.1,21,39,3,2,0.132,0.393442623
